Title,Author,ReleaseDate,Number_ratings,Rating,Price
Python Machine Learning,Arthur Ike Smith,03-20-20,1 rating,1 out of 5 stars,$14.95
Machine Learning with Python,David Park,05-28-20,Not rated yet,Not rated yet,$14.95
The Programmers Code,C.P.A. Inc,07-16-20,2 ratings,3 out of 5 stars,$19.95
Python Machine Learning: Introduction To Machine Learning With Python,Frank Millstein,04-03-18,23 ratings,4 out of 5 stars,$6.95
Python for Data Science,Mark Graph,05-20-20,Not rated yet,Not rated yet,$14.95
Python Data Science,Andrew Park,02-06-20,8 ratings,5 out of 5 stars,$14.95
Python Programming,Ethem Mining,03-17-20,16 ratings,5 out of 5 stars,$14.95
Python Programming,Jimmy Smith,01-16-20,Not rated yet,Not rated yet,$14.95
Python for Machine Learning,Rick Loydd,11-11-19,22 ratings,4.5 out of 5 stars,$14.95
Diaries 1969-1979,Michael Palin,10-30-06,26 ratings,4 out of 5 stars,$15.88
Python Programming: The Ultimate Beginner's Guide to Learn Python Step by Step,Ryan Turner,10-24-18,3 ratings,1.5 out of 5 stars,$6.95
Python Advanced: How to Master Python,Gary Gold,05-27-20,Not rated yet,Not rated yet,$14.95
SQL,Steve Tudor,09-11-20,20 ratings,5 out of 5 stars,$14.95
Big Data: 4 Manuscripts,Anthony Williams,10-17-17,32 ratings,4.5 out of 5 stars,$19.95
Deep Learning,Frank Millstein,04-02-18,25 ratings,4.5 out of 5 stars,$19.95
Spare,Prince Harry The Duke of Sussex,01-10-23,Not rated yet,Not rated yet,$50.40
Armageddon,Travis Bagwell,11-20-22,90 ratings,5 out of 5 stars,$29.95
Untying the Knot,Meghan Quinn,11-15-22,135 ratings,4.5 out of 5 stars,$24.95
Schuss,E.J. Noyes,11-22-22,26 ratings,5 out of 5 stars,$19.95
He Who Fights with Monsters 9,Shirtaloon,04-18-23,Not rated yet,Not rated yet,$59.99
Never Finished,David Goggins,12-06-22,Not rated yet,Not rated yet,$17.47
American Injustice,John Paul Mac Isaac,11-22-22,4 ratings,5 out of 5 stars,$17.49
Primal Hunter 4,Zogarth,12-06-22,Not rated yet,Not rated yet,$29.95
Never Lie,Freida McFadden,11-08-22,335 ratings,4.5 out of 5 stars,$48.99
Female Warrior,Elise Griego,11-11-22,Not rated yet,Not rated yet,$14.95
A World of Curiosities,Louise Penny,11-29-22,Not rated yet,Not rated yet,$31.18
How the Grump Saved Christmas,Claire Kingsley,11-17-22,102 ratings,5 out of 5 stars,$19.95
Swamp Spirits,Jana DeLeon,11-01-22,726 ratings,5 out of 5 stars,$19.95
Kincaid,Laurelin Paige,11-15-22,74 ratings,5 out of 5 stars,$19.95
The Book of Levi,John Conroe,11-15-22,135 ratings,5 out of 5 stars,$34.95
"Forever, Interrupted",Taylor Jenkins Reid,11-15-22,53 ratings,4.5 out of 5 stars,$18.89
Evildoer,Dannika Dark,11-15-22,211 ratings,5 out of 5 stars,$20.99
This Young Master Is Not Cannon Fodder,D.C. Haenlien,11-17-22,52 ratings,4.5 out of 5 stars,$19.95
Revenge,Michael Cohen,10-21-22,130 ratings,4.5 out of 5 stars,$19.95
Heretic Mage,Inadvisably Compelled,11-18-22,70 ratings,5 out of 5 stars,$24.95
Python Programming,Tony Hacking,02-21-20,Not rated yet,Not rated yet,$14.95
Python Programming,K. Connors,10-17-17,15 ratings,3.5 out of 5 stars,$6.95
Python Programming,Scotts Jason,12-06-13,40 ratings,3 out of 5 stars,$6.95
Coding,David Cooke,09-19-19,3 ratings,3.5 out of 5 stars,$3.95
Learn Python Programming,Russel R. Russo,01-28-20,Not rated yet,Not rated yet,$14.95
Python: 2 Books in 1: Data Science and Programming,Tony Hacking,03-26-20,Not rated yet,Not rated yet,$19.95
"Python: Best Practices to Programming Code with Python, Volume 3",Charlie Masterson,08-07-17,2 ratings,4 out of 5 stars,$6.95
Computer Programming,Ken Madron,03-02-20,3 ratings,3 out of 5 stars,$19.95
Python for Beginners,Arthur T. Brooks,05-12-20,Not rated yet,Not rated yet,$19.95
Machine Learning for Beginners,Chris Sebastian,01-31-19,10 ratings,4 out of 5 stars,$14.95
Python for Beginners and Machine Learning 2020,Myles Bellisario,06-09-21,Not rated yet,Not rated yet,$19.95
Computer Programming for Beginners: 3 Books in 1,Kevin Cooper,05-28-21,Not rated yet,Not rated yet,$24.95
Python Machine Learning,Ryan Turner,04-08-19,26 ratings,4.5 out of 5 stars,$14.95
Python Data Science,Computer Programming Academy,05-21-20,2 ratings,5 out of 5 stars,$14.95
Python Machine Learning,Ahmed Ph. Abbasi,08-01-18,18 ratings,5 out of 5 stars,$6.95
Python for Beginners 2020,Myles Bellisario,01-23-20,8 ratings,4.5 out of 5 stars,$6.95
Get Programming,Ana Bell,08-11-20,Not rated yet,Not rated yet,$19.95
Hacking: 2 Books in 1 Bargain,Miles Price,02-23-18,7 ratings,4 out of 5 stars,$6.95
Programming #45,Sam Key,01-13-17,Not rated yet,Not rated yet,$3.95
Deep Learning,Gabriel Baker,01-31-20,75 ratings,5 out of 5 stars,$14.95
Markov Models: Supervised and Unsupervised Machine Learning,William Sullivan,10-10-17,34 ratings,4 out of 5 stars,$6.95
Machine Learning,Artus Duval,01-13-20,Not rated yet,Not rated yet,$14.95
Artificial Intelligence Business Applications,Chris Baker,08-28-19,19 ratings,5 out of 5 stars,$14.95
Computer Programming Languages: 2 Books in 1: For Beginners or Intermediate,Tony Chan,06-11-20,Not rated yet,Not rated yet,$19.95
"Java, Python, C++: Crash Courses",Martin Laredo,10-25-18,12 ratings,4 out of 5 stars,$14.95
Hacking University,Isaac D. Cody,12-15-16,9 ratings,4.5 out of 5 stars,$14.95
Advanced Python Programming: The Insider Guide to Advanced Python Programming Systems,Richard Ozer,06-12-18,5 ratings,5 out of 5 stars,$6.95
Machine Learning with Python,Paige Jacobs,03-28-19,17 ratings,5 out of 5 stars,$14.95
"Text Analytics: Python, Models, and Lexicons",David Feldspar,02-23-18,1 rating,5 out of 5 stars,$6.95
Raspberry Pi in Easy Steps,Jason Scotts,08-28-13,10 ratings,4 out of 5 stars,$3.95
Coding for Beginners Using Python,Mark Matthes,05-28-21,Not rated yet,Not rated yet,$14.95
Python: Learn Python (Advanced),Ronald Olsen,07-27-17,2 ratings,5 out of 5 stars,$6.95
"Python Machine Learning: The Absolute Beginner’s Guide for Understand Neural Network, Artificial Intelligent, Deep Learning and Mastering the … Python",John S. Code,06-25-20,Not rated yet,Not rated yet,$14.95
Python Programming: Fluent in Python,Hacking Studios,11-16-17,Not rated yet,Not rated yet,$6.95
Guide to: Functional Python and Comprehension Constructs,Matt Harrison,06-19-15,1 rating,2 out of 5 stars,$6.95
Intermediate Python Programming: The Insider Guide to Intermediate Python Programming Concepts,Richard Ozer,04-20-18,5 ratings,5 out of 5 stars,$6.95
Python Programming Techniques,Lance Gifford,06-20-14,24 ratings,2 out of 5 stars,$6.95
Python Programming in a Day & Ruby Programming Professional Made Easy,Sam Key,09-29-16,Not rated yet,Not rated yet,$3.95
Machine Learning with Python,Brian Walker,09-18-19,23 ratings,5 out of 5 stars,$19.95
Python Programming,Leonard Eddison,07-20-18,26 ratings,5 out of 5 stars,$6.95
Python for Machine Learning,Jeff Phoenix,12-26-19,Not rated yet,Not rated yet,$14.95
Python Crash Course,Gary Gold,11-04-19,Not rated yet,Not rated yet,$6.95
Guide to: Learning Iteration and Generators in Python,Matt Harrison,07-02-15,Not rated yet,Not rated yet,$6.95
Markov Models,Duo Code,08-21-17,11 ratings,3 out of 5 stars,$6.95
Python Programming,Daniel Jones,08-02-17,Not rated yet,Not rated yet,$6.95
"The Very Best of Laughingstock, Volume 1",Rowan Atkinson,06-10-05,41 ratings,3.5 out of 5 stars,$5.34
Python Programming: The Ultimate Intermediate Guide to Learn Python Step by Step,Ryan Turner,11-14-18,Not rated yet,Not rated yet,$6.95
"Deep Learning with Python: A Fundamentals Guide to Understanding Machine Learning and Artificial Intelligence with Scikit-Learn, TensorFlow, and Keras",Sebastian Dark,11-23-18,2 ratings,2.5 out of 5 stars,$6.95
Hacking University: Junior Edition,Isaac D. Cody,10-19-16,13 ratings,4 out of 5 stars,$6.95
Python for Data Analysis,Mik Arduino,06-08-20,Not rated yet,Not rated yet,$14.95
Machine Learning: 2 Manuscripts,Frank Millstein,06-28-18,3 ratings,2.5 out of 5 stars,$19.95
Python for Data Science,Ethan Williams,04-08-20,14 ratings,4.5 out of 5 stars,$19.95
Python for Beginners,Kevin Cooper,11-20-19,Not rated yet,Not rated yet,$14.95
Python Programming,A. Global,03-27-19,Not rated yet,Not rated yet,$6.95
Guide To: Learning Python Decorators,Matt Harrison,08-12-15,Not rated yet,Not rated yet,$6.95
Python Programming,Daniel Jones,05-12-17,Not rated yet,Not rated yet,$6.95
Python Machine Learning,Alexander Bold,12-26-19,Not rated yet,Not rated yet,$14.95
Python Machine Learning,Ryan Turner,11-05-19,Not rated yet,Not rated yet,$14.95
"Bitcoin: How to Get, Send, and Receive Bitcoins Anonymously",Evan Lane,07-03-17,Not rated yet,Not rated yet,$6.95
Raspberry Pi 3,Gary Mitnick,05-01-17,5 ratings,4 out of 5 stars,$6.95
"Bitcoin: How to Get, Send, and Receive Bitcoins Anonymously",Evan Lane,07-03-17,Not rated yet,Not rated yet,$6.95
Raspberry Pi 3,Gary Mitnick,05-01-17,5 ratings,4 out of 5 stars,$6.95
Python for Data Science,Jason Cannon,04-06-20,Not rated yet,Not rated yet,$14.95
Python Machine Learning: A Guide for Beginners (Second Edition),Leonard Eddison,08-14-18,28 ratings,5 out of 5 stars,$6.95
Beginner Python Programming,Richard Ozer,04-30-18,Not rated yet,Not rated yet,$6.95
Python Programming,Daniel Jones,05-15-17,1 rating,5 out of 5 stars,$6.95
Python Programming,Charles Walker,03-30-20,Not rated yet,Not rated yet,$14.95
Python for Beginners,Leonardo Gorman,12-21-16,4 ratings,4 out of 5 stars,$6.95
Python for Data Science,Jason Callaway,04-13-20,1 rating,1 out of 5 stars,$14.95
Python Programming in a Day - 2nd Edition,Sam Key,01-28-16,2 ratings,3.5 out of 5 stars,$6.95
Python Machine Learning,Alex Campbell,08-29-20,Not rated yet,Not rated yet,$6.95
Python Programming,Ryan Turner,12-07-18,Not rated yet,Not rated yet,$6.95
Machine Learning with Python,William Bahl,03-20-20,Not rated yet,Not rated yet,$6.95
Python Programming: Fluent in Python,Hacking Studios,11-16-17,Not rated yet,Not rated yet,$6.95
Python: The No BS Approach to Hacking and Python,Hacking Studios,12-22-17,Not rated yet,Not rated yet,$14.95
Little Brexit,Matt Lucas,12-05-19,2 ratings,5 out of 5 stars,$19.62
"Geoffrey Giuliano in Conversation with Neil Innes - Ex Bonzo Dog, Monty Python & Rutles Man",Geoffrey Giuliano,09-16-19,1 rating,5 out of 5 stars,$6.95
Data Science with Python,Julian James McKinnon,09-18-20,Not rated yet,Not rated yet,$14.95
Data Science from Scratch with Python,Steve Geddis,09-16-20,Not rated yet,Not rated yet,$14.95
Machine Learning with Python,Alexander Cane,10-08-19,15 ratings,5 out of 5 stars,$14.95
"Geoffrey Giuliano in Conversation with Neil Innes - Ex Bonzo Dog, Monty Python & Rutles Man",Geoffrey Giuliano,09-16-19,1 rating,5 out of 5 stars,$6.95
"Thalia Book Club: Eric Idle, Always Look on the Bright Side of Life",Eric Idle,11-20-18,15 ratings,4.5 out of 5 stars,$3.41
Plague of Pythons,Frederik Pohl,12-28-08,10 ratings,4 out of 5 stars,$24.99
Accessing the Deep Web & Dark Web with Tor,Jack Jones,07-14-17,12 ratings,4 out of 5 stars,$6.95
Machine Learning with Python,Russel R. Russo,05-06-20,2 ratings,5 out of 5 stars,$14.95
Machine Learning with Python,Mr Ethan Williams,11-20-19,Not rated yet,Not rated yet,$19.95
Deep Learning with Python,Ethan Williams,11-08-19,14 ratings,5 out of 5 stars,$19.95
Python Programming for Beginners,Martin Laredo,02-24-17,1 rating,5 out of 5 stars,$6.95
Python Data Science,Mark Solomon Brown,05-19-20,Not rated yet,Not rated yet,$14.95
Python Machine Learning Guide for Beginners & Intermediates: The Future Is Here!,William Sullivan,08-23-18,12 ratings,4.5 out of 5 stars,$6.95
Python Programming for Complete Novices,Scott Bernard,02-27-17,15 ratings,4.5 out of 5 stars,$6.95
Raspberry Pi 3: Complete Programming Guide with Step by Step Raspberry Pi 3 Projects for Beginners,Stephen Aldrich,07-14-17,Not rated yet,Not rated yet,$6.95
Python for Beginners,Joshua Curtis,04-22-20,1 rating,1 out of 5 stars,$14.95
Python Programming Professional Made Easy & Ruby Programming Professional Made Easy,Sam Key,01-27-17,Not rated yet,Not rated yet,$3.95
Python Machine Learning,Django Smith,12-11-19,Not rated yet,Not rated yet,$14.95
Python for Data Analysis,Eric Marston,11-05-19,1 rating,5 out of 5 stars,$14.95
Python for Beginners: 2 Manuscripts,James Oliver,01-25-18,3 ratings,2.5 out of 5 stars,$6.95
PowerShell: For Beginners!,Alex Artuso,04-01-16,17 ratings,4 out of 5 stars,$6.95
Programming with Python,Howard Hayes,04-01-20,Not rated yet,Not rated yet,$14.95
Deep Learning with Python,Alex Root,03-11-20,Not rated yet,Not rated yet,$14.95
How To Learn Python,Steven Lamb,03-02-20,Not rated yet,Not rated yet,$19.95
Machine Learning with Python,Paige Jacobs,10-17-19,Not rated yet,Not rated yet,$19.95
"Programming, Volume 49",Sam Key,01-27-17,Not rated yet,Not rated yet,$3.95
"Programming, Book 50",Sam Key,01-27-17,Not rated yet,Not rated yet,$3.95
Programming #3,Sam Key,07-15-16,Not rated yet,Not rated yet,$3.95
Replace multiple characters Python,Charlie Masterson,04-20-17,Not rated yet,Not rated yet,$6.95
Java: Advanced Guide to Programming Code with Java (Volume 4),Thrust,10-30-14,10 ratings,3 out of 5 stars,$3.95
Jack & His Python,Sam Key,10-21-16,4 ratings,2 out of 5 stars,$3.95
Python Programming in a Day and MYSQL Programming Professional Made Easy,Tony Hacking,04-13-20,Not rated yet,Not rated yet,$14.95
Python Programming,Tony Hacking,03-25-20,Not rated yet,Not rated yet,$14.95
Python for Data Analysis,Tony Hacking,11-18-19,Not rated yet,Not rated yet,$14.95
Python for Data Analysis,Sam Key,09-27-16,Not rated yet,Not rated yet,$3.95
Python Programming in a Day & Excel Shortcuts,Sam Key,08-19-16,Not rated yet,Not rated yet,$3.95
Python Programming Professional Made Easy & C Programming Professional Made Easy (Volume 17),Charlie Masterson,07-11-17,1 rating,1 out of 5 stars,$14.95
JavaScript: 2 Books in 1: Beginner's Guide + Tips and Tricks to Programming Code with JavaScript,Gary Mitnick,08-17-17,4 ratings,2.5 out of 5 stars,$6.95
Python: 2 manuscripts,Sam Key,01-13-17,Not rated yet,Not rated yet,$3.95
Python Programming Professional Made Easy & Facebook Social Power,Sam Key,01-27-17,Not rated yet,Not rated yet,$3.95
Python Programming Professional Made Easy & Windows 8 Tips for Beginners,Sam Key,01-27-17,Not rated yet,Not rated yet,$3.95
Python Programming Professional Made Easy & Windows 8 Tips for Beginners,Sam Key,01-27-17,Not rated yet,Not rated yet,$3.95
Python Programming in a Day and C++ Programming Professional Made Easy,Sam Key,01-16-17,2 ratings,2 out of 5 stars,$3.95
Python Programming in a Day & CSS Programming Professional Made Easy,Sam Key,10-25-16,Not rated yet,Not rated yet,$3.95
Python Programming in a Day & HTML Professional Programming Made Easy,Sam Key,10-24-16,Not rated yet,Not rated yet,$3.95
Python Programming in a Day & JavaScript Professional Programming Made Easy,Sam Key,10-24-16,Not rated yet,Not rated yet,$3.95
Python Cyber Uncovered: This New Way to Use Pythoncyber Is Epic,Bill Richardson,07-25-20,Not rated yet,Not rated yet,$14.95
Python Programming: 3 Books in 1,Daniel Jones,12-22-17,Not rated yet,Not rated yet,$14.95
Python Programming in a Day & Facebook Social Power,Sam Key,09-27-16,Not rated yet,Not rated yet,$3.95
Python Programming in a Day & Android Programming in a Day!,Sam Key,09-29-16,Not rated yet,Not rated yet,$3.95
Python Programming in a Day & Windows 8 Tips for Beginners,Sam Key,09-29-16,Not rated yet,Not rated yet,$3.95
Python Programming in a Day - C Programming Success in a Day - C Programming Professional Made Easy,Sam Key,09-08-16,1 rating,4 out of 5 stars,$3.95
Python Programming in a Day & C Programming Professional Made Easy,Sam Key,08-19-16,1 rating,5 out of 5 stars,$3.95
7 Reasons - Why Python Is Powerful,Joe Taylor,07-11-18,Not rated yet,Not rated yet,$3.95
Brief Introduction to Python Testing,Matt Harrison,06-18-15,Not rated yet,Not rated yet,$3.95
Python Machine Learning Is the Complete Guide to Everything You Need to Know About Python Machine Learning,Erick Myers,09-22-20,Not rated yet,Not rated yet,$14.95
Two Bachelors and a Python,Tanya Munshi,11-17-14,Not rated yet,Not rated yet,$3.95
